batting_team,batsman_is_rhb,non_striker_id,non_striker_name,non_striker_is_rhb,bowling_team,bowler_is_rhb,delivery_type,innings,ball,over,shot_is_attacked,shot_is_played,bounce_angle,bounce_pos_x,bounce_pos_y,boucne_pos_z,crease_pos_x,crease_pos_y,crease_pos_z,deviation,drop_angle,hit_stumps,impact_pos_x,impact_pos_y,impact_pos_z,initial_angle,landing_pos_x,landing_pos_y,landing_pos_z,pbr,react_time_to_crease,react_time_to_intercept,real_distance,release_pos_x,release_pos_y,release_pos_z,release_speed,spin_rate,stump_pos_x,stump_pos_y,stump_pos_z,swing,match_id,batsman_id,batsman_name,bowler_id,bowler_name,ball_id,is_single,is_double,is_three,is_dot,is_wide,is_no_ball,is_bye,is_leg_bye,is_four,is_six,is_wicket,wicket_type,is_bowler_wicket,ball_type,shot_type,pitch_x,pitch_y,ball_line,ball_length,runs,actual_runs,extras,ball_runs,is_bouncer,is_free_hit,innings_no,ground,date
GUJARAT-TITANS,True,13293905321121,SAI SUDHARSAN,False,CHENNAI-SUPER-KINGS,True,Spin,1,6,8,Attacked,Played,7.651618748384599,4.911654,-0.331432,0,-8.840902,-0.290908,0.432025,-0.7687991973701346,-12.31465429727281,None,-7.24272,-0.308596,0.299869,-4.657297494891335,19,143,0,62.75614672651081,0.748100280761719,0.5663337707519531,0,8.340461880722813,-0.673778488987007,2.034740784236731,66.44906,0,-10.06013268399572,-0.2772582158209976,0.5005718617911378,-0.1227307810592202,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,327480,1,0,0,0,0,0,0,0,0,0,0,,0,CARROM BALL,SLOG SWEEP,138.10,56.37,Outside Off stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Spin,1,4,11,Attacked,Edged,10.46488409911625,6.229977,0.160846,0,-8.84101,0.263147,0.706147,-3.275378194745395,-14.44811438167346,None,-7.644242,0.238306,0.601746,-5.033835748291062,81,-93,0,60.60413317244061,0.714340209960938,0.6269760131835938,0,8.340787276502425,-0.6542498882057806,2.113050970967211,62.19522564633351,0,-10.06008122809883,0.2887234531705031,0.7774652918243361,1.131935947729402,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327496,1,0,0,0,0,0,0,0,0,0,0,,0,ORTHODOX,SLOG SWEEP,-125.01,100.46,Off stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,True,Seam,1,3,1,Defended,Played,8.114141816558716,9.678911,-0.174889,0,-8.840945,0.059594,0.891502,-0.2180532690952664,-13.44172734087659,None,-8.033875,0.03655,0.843601,-10.10813100757385,7,95,0,82.82900438565078,0.529403686523438,0.5000152587890625,0,8.340497908822456,-0.404735159309054,1.856062356558148,81.04169464225883,0,-10.06011378798137,0.09468789472362973,0.9496484459857714,0.476201093812283,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327435,1,0,0,0,0,0,0,0,0,0,0,,0,ANGLED IN,BACKFOOT DEFENCE,84.06,37.41,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,False,Seam,1,5,4,Defended,Played,9.12977335388912,8.933647,-0.430104,0,-8.84088,-0.064727,0.944724,1.011122611732045,-13.76150035406405,None,-8.122355,-0.095787,0.890427,-8.454472178778396,-55,-40,0,84.03693468812132,0.550884246826172,0.5237274169921875,0,8.340763797446048,-0.779577652733062,1.887733123134643,78.20713773584919,0,-10.06021242173329,-0.01352956203399779,1.021723400067513,-0.3237313177625201,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,327455,1,0,0,0,0,0,0,0,0,0,0,,0,OFF CUTTER,BACKFOOT DEFENCE,-64.80,-34.65,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13293905321121,SAI SUDHARSAN,False,CHENNAI-SUPER-KINGS,False,Spin,1,4,13,Attacked,Played,9.32148440839789,6.55336,0.01984,0,-8.841047,0.167012,0.647519,-2.469563873822249,-14.04611291231029,None,-7.915846,0.141019,0.585238,-5.607194857226911,-48,135,0,68.23287957565996,0.692905426025391,0.6320571899414062,0,8.340784742859231,-0.712415290806858,2.075620008212814,63.72609496196165,0,-10.05988242628425,0.2015653021344365,0.701581263777944,0.9226167975121901,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327510,1,0,0,0,0,0,0,0,0,0,0,,0,ORTHODOX,BACKFOOT PULL SHOT,109.66,-20.43,Leg stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,True,Seam,1,6,5,Attacked,Edged,9.030538574503232,10.595073,-0.563823,0,-8.840794,-0.447143,0.99293,-0.01418013966646462,-14.70766540731157,None,-7.355565,-0.466211,0.921015,-10.79890560117119,54,129,0,80.84091534266713,0.599166870117188,0.5289115905761719,0,8.340670397973774,-0.6542541413223968,1.810366412715324,74.10745214982683,0,-10.06004884364002,-0.431315642844537,1.028197052852432,0.07363532777473605,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327462,1,0,0,0,0,0,0,0,0,0,0,,0,SLOWER BALL,FRONTFOOT PULL SHOT,133.83,61.11,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,6,1,Attacked,Played,7.770863782871566,8.54868,-0.231526,0,-8.840827,-0.229888,0.786174,-0.27161836342694,-12.31167247619875,None,-8.380434,-0.229993,0.755675,-8.5235792938887,77,59,0,86.46910685068025,0.52642822265625,0.4976806640625,0,8.34071930998548,-0.3740410852675781,1.846537278766822,82.57649910887808,0,-10.06015105948,-0.2296061177538723,0.855811417528533,-1.050160257439127,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327438,1,0,0,0,0,0,0,0,0,0,0,,0,OUTSWINGER,BACKFOOT PUSH,55.14,81.02,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Seam,1,1,4,Attacked,Played,8.747505442754903,9.84266,-0.719271,0,-8.841055,-0.4747,0.931939,0.3383446161541091,-14.39599149905406,None,-7.849724,-0.509734,0.876794,-9.636887253530361,137,172,0,75.95184241919843,0.572444915771484,0.5263938903808594,0,8.340432340664712,-0.8762227004292272,1.855009737539047,76.9716183387484,0,-10.05987198881062,-0.4289722788896098,0.9815249578419835,-0.3689146770229315,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,327451,0,0,0,0,0,0,0,0,1,0,0,,0,OFF CUTTER,FRONTFOOT PULL SHOT,148.06,149.76,Outside Off stump,Short of Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,2,5,Attacked,Played,8.196310506923423,9.972164,-0.406495,0,-8.840697,0.000301,0.936875,-0.2939148656822159,-13.77866273550703,None,-8.109603,-0.043408,0.89339,-10.59021166715159,7,137,0,76.83846529417079,0.531852722167969,0.4946136474609375,0,8.340895941676102,-0.7139819410049633,1.864705420634156,83.22196149707257,0,-10.06027070945603,0.07747137719754499,0.9959821840730296,0.163521354859463,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327458,0,1,0,0,0,0,0,0,0,0,0,,0,ANGLED IN,BACKFOOT PULL SHOT,147.11,10.86,Outside Off stump,Short of Good Length,2,2,0,2,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13293905321121,SAI SUDHARSAN,False,CHENNAI-SUPER-KINGS,False,Spin,1,3,13,Attacked,Played,10.25489970799079,6.418297,-0.108991,0,-8.841005,-0.066582,0.728282,-2.690446942763918,-14.04909897058281,None,-8.604299,-0.068553,0.709549,-5.340984172310569,-69,-175,6,74.27123815524529,0.688282012939453,0.6601638793945312,0,8.34104014669272,-0.7234761184823181,2.072150959257908,64.17506323563772,0,-10.06010318018667,-0.05636691407737399,0.805587338482844,0.4101859588496968,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327509,0,0,0,0,0,0,0,0,1,0,0,,0,ORTHODOX,CUT SHOT,-138.29,-92.96,Off stump,Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,True,Seam,1,3,3,Attacked,Played,7.747570138184176,8.186667,-0.207575,0,-8.840844,-0.028519,0.742076,0.3702422262121352,-11.9573364942197,None,-7.867273,-0.05413,0.676031,-8.254422037613203,14,208,13,84.11108571764382,0.535755157470703,0.4909286499023438,0,8.340433440928088,-0.4391984304165591,1.85436871107986,81.16466281162823,0,-10.05978649250497,0.003828932025476323,0.8093679334917594,-0.4544062789578915,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327447,0,0,0,0,0,0,0,0,1,0,0,,0,ANGLED IN,FRONTFOOT PULL SHOT,181.24,78.18,Outside Off stump,Short of Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1046,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,4,12,Attacked,Played,5.334423956927376,7.710153,0.319528,0,-8.840924,0.520917,0.493222,0.3886122887078757,-9.021790345489968,None,-9.163846,0.531197,0.506885,-5.749005295230186,-78,142,0,87.09216663235651,0.464195251464844,0.4615859985351563,0,8.341010821568439,0.2269928370146765,1.419838013522218,91.86844213592383,0,-10.06011117503686,0.5598604489181557,0.5402452172191895,1.636225521525261,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2022-100mb00000001014-1f0cfb3dc17911,Matheesha Pathirana,327502,1,0,0,0,0,0,0,0,0,0,0,,0,ANGLED ACROSS,GLIDE,101.60,-78.27,Outside Off stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,13073943094298,HARDIK PANDYA,True,CHENNAI-SUPER-KINGS,True,Seam,1,3,16,Attacked,Played,5.239406717366133,-1.98179,0.907512,0,-8.840841,0.709984,0.42758,1.272221872585407e-14,-7.633522107435047,None,-9.028463,0.72062,0.40664,-0.6054952150483786,-61,214,0,84.83891893979609,0.4537353515625,0.4464111328125,0,8.340602293985022,0.1680110579833307,1.420482674705815,92.3905517130619,0,-10.06023671976793,0.7811768826680457,0.2870664530116135,3.299630892817866,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2022-100mb00000001014-1f0cfb3dc17911,Matheesha Pathirana,327527,0,0,0,0,0,0,0,0,1,0,0,,0,ANGLED ACROSS,FRONTFOOT SQUARE DRIVE,142.84,-77.32,Outside Off stump,Full Toss,4,4,0,4,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13293905321121,SAI SUDHARSAN,False,CHENNAI-SUPER-KINGS,False,Seam,1,6,17,Attacked,Played,5.933146979496486,-0.1988769999999995,0.131631,0,-8.840914,0.056305,0.153378,-1.272221872585407e-14,-8.636637983284984,None,-8.351526,0.031342,0.223257,-3.769853887908188,53,104,0,87.519506101849,0.477504730224609,0.4505081176757813,0,8.34072250012439,-0.540148120655835,1.918417586817744,88.0799865353989,0,-10.0596092862942,0.1207729348853013,-0.0262936681136673,2.000553356985381,1046,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,2020-100mb00000000539-04833b65639b11,Tushar Deshpande,327536,1,0,0,0,0,0,0,0,0,0,0,,0,ANGLED IN,FRONTFOOT ON DRIVE,139.05,70.12,Leg stump,Full Toss,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,False,Spin,1,5,9,Attacked,Played,9.652347435292091,6.555215,-0.081826,0,-8.840666,-0.065724,0.681337,-2.265838306957042,-14.5579639956025,None,-8.103073,-0.067992,0.630332,-5.400368336628864,0,0,-999.900024,69.7279770995889,0.699050903320312,0.6479988098144531,0,8.340781236579772,-0.5101700581537665,2.114664617328631,62.85109449349701,0,-10.06014894437906,-0.06194271240462389,0.7395229837103465,0.7003512054521035,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327485,0,0,0,1,0,0,0,0,0,0,0,,0,ORTHODOX,FORWARD PUSH,-91.35,27.93,Leg stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,False,Spin,1,4,7,Attacked,Edged,11.1074837982956,6.03785,-0.141954,0,-8.840826,-0.16027,0.710902,-4.196092868603897,-15.03141493933226,None,-7.21983,-0.154022,0.555828,-4.167630692449883,0,0,-999.900024,60.34751782865906,0.738006591796875,0.6382827758789062,0,8.340768016538473,-0.795015009777023,2.110003023639413,60.55880159299033,0,-10.05984850821392,-0.1650299416923566,0.7808422211070767,1.840328922092381,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,327472,0,0,0,1,0,0,0,0,0,0,0,,0,ORTHODOX,STEP DOWN LOFTED OFF DRIVE,-34.46,-53.61,Off stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Seam,1,4,1,Attacked,Played,8.43660908123899,8.076783,-0.157744,0,-8.840562,-0.109693,0.831212,-0.01949813114818614,-12.09665124813376,None,-8.410933,-0.11278,0.796168,-8.026015668850272,35,92,0,91.72663406163011,0.526462554931641,0.49969482421875,0,8.340684326737154,-0.3700461590438747,1.86511884958531,82.63182452314115,0,-10.06028715457026,-0.1008710100619986,0.9196335484547326,-1.477286074473032,1046,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,2019-100mb00000000091-8640595343ec11,Deepak Chahar,327436,1,0,0,0,0,0,0,0,0,0,0,,0,OUTSWINGER,BACKFOOT PUSH,112.97,55.42,Off stump,Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,False,12865945221765,Wriddhiman Saha,True,CHENNAI-SUPER-KINGS,True,Spin,1,3,10,Attacked,Played,11.25596186614897,2.950492000000001,-0.073087,0,-8.840605,-0.147324,0.345713,2.65372330165751,-15.37487417523289,None,-8.112404,-0.115969,0.223118,-0.3969671301851059,0,0,-999.900024,83.41894713192808,0.72088623046875,0.6648101806640625,0,8.340610586225868,0.9684325256132738,2.0984380855856,59.26449804019095,0,-10.06011368226663,-0.2002477931575292,0.5235815293506285,-2.350972862188614,1046,2022-100mb00000000976-79aa33cca44611,Sai Sudharsan,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,327489,0,0,0,1,0,0,0,0,0,0,0,,0,OFF SPIN,FRONTFOOT COVERDRIVE,75.05,49.26,Leg stump,Full Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
GUJARAT-TITANS,True,13169839926217,SHUBMAN GILL,True,CHENNAI-SUPER-KINGS,True,Spin,1,1,6,Attacked,Played,8.716036068179923,4.518861,-0.01962,0,-8.840989,0.046304,0.450452,-0.8080072792049243,-13.96097133829446,None,-7.861488,0.026563,0.354874,-2.556216846688831,0,0,-999.900024,85.92642540377396,0.715553283691406,0.6527824401855469,0,8.340679683473738,-0.5182561249370614,2.017080714862352,59.44865779393813,0,-10.06024715488731,0.07108696149301341,0.5416065671162484,-0.2229457169608887,1046,2019-100mb00000000225-a11ad1bc44c011,Wriddhiman Saha,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,327463,0,0,0,1,0,0,0,0,0,0,0,,0,CARROM BALL,FORWARD DEFENCE,55.61,31.24,Off stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2023-05-29
