batting_team,batsman_is_rhb,non_striker_id,non_striker_name,non_striker_is_rhb,bowling_team,bowler_is_rhb,delivery_type,innings,ball,over,shot_is_attacked,shot_is_played,bounce_angle,bounce_pos_x,bounce_pos_y,boucne_pos_z,crease_pos_x,crease_pos_y,crease_pos_z,deviation,drop_angle,hit_stumps,impact_pos_x,impact_pos_y,impact_pos_z,initial_angle,landing_pos_x,landing_pos_y,landing_pos_z,pbr,react_time_to_crease,react_time_to_intercept,real_distance,release_pos_x,release_pos_y,release_pos_z,release_speed,spin_rate,stump_pos_x,stump_pos_y,stump_pos_z,swing,match_id,batsman_id,batsman_name,bowler_id,bowler_name,ball_id,is_single,is_double,is_three,is_dot,is_wide,is_no_ball,is_bye,is_leg_bye,is_four,is_six,is_wicket,wicket_type,is_bowler_wicket,ball_type,shot_type,pitch_x,pitch_y,ball_line,ball_length,runs,actual_runs,extras,ball_runs,is_bouncer,is_free_hit,innings_no,ground,date
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1456,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,MA Chidambaram Stadium,2024-05-26
SUNRISERS-HYDERABAD,False,13002286517371,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,False,Seam,1,4,1,Attacked,Played,8.862294404524887,2.198157,0.791166,0,-8.840615,0.829499,0.189151,-0.8709650081584492,-9.214540370380645,None,-8.531642,0.817367,0.143225,-4.884735310663435,-19,132,0,122.3418090766358,0.476943969726562,0.4566879272460938,0,8.341111705139731,0.2799592169354175,2.013174203400881,88.41260968704738,0,-10.06035489859627,0.8776755582681421,0.3620432226354535,2.458131934916959,1456,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2018-100mb00000000031-b334eaf6f08611,Mitchell Starc,464711,0,1,0,0,0,0,0,0,0,0,0,,0,OUTSWINGER,FRONTFOOT SQUARE DRIVE,139.21,-23.81,Outside Off stump,Full Length,2,2,0,2,0,0,1,MA Chidambaram Stadium,2024-05-26
SUNRISERS-HYDERABAD,True,13168893586394,HEINRICH KLAASEN,True,KOLKATA-KNIGHT-RIDERS,True,Spin,1,1,8,Attacked,Played,11.89449503100463,7.164986,-0.482033,0,-8.840944,-0.288055,0.93836,1.848757661556438,-15.89888389516533,None,-9.038385,-0.281456,0.953989,-5.097238867612012,0,0,-999.900024,99.83870163734373,0.745742797851562,0.7421722412109375,0,8.34070267551208,-0.5464417752293621,2.117794745208185,57.593272397894,0,-10.05976482529988,-0.2471524440870794,1.020162664872049,-0.6746057088983829,1456,2019-100mb00000000287-ca1a6bb17ae311,Aiden Markram,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,464755,0,0,0,1,0,0,0,0,0,0,0,,0,OFF SPIN,CUT SHOT,-80.42,-17.83,Outside Off stump,Good Length,0,0,0,0,0,0,1,MA Chidambaram Stadium,2024-05-26
SUNRISERS-HYDERABAD,True,13036678998644,Aiden Markram,True,KOLKATA-KNIGHT-RIDERS,True,Seam,1,7,4,None,None,8.162446040237375,5.963958,-0.09415,0,-8.841031,0.297648,0.605835,1.409264322507753,-12.20427525223298,None,-999.9,-999.9,-999.9,-6.079629142721725,0,0,-999.900024,87.70669868706263,0.533134460449219,0.5604629516601562,0,8.340660481947118,-0.5625839446423577,2.020194059635684,80.72651994351307,0,-10.06017691286971,0.4006748289659389,0.7107280895530592,2.048660121254235,1456,2019-100mb00000000188-896b509b44b711,Rahul Tripathi,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,464732,0,0,0,0,1,0,0,0,0,0,0,,0,INSWINGER,FRONTFOOT FLICK,72.90,62.75,Off stump,Good Length,1,0,1,1,0,0,1,MA Chidambaram Stadium,2024-05-26
SUNRISERS-HYDERABAD,True,12946888382399,PAT CUMMINS,True,KOLKATA-KNIGHT-RIDERS,True,Seam,1,3,15,Attacked,Missed,7.177927045460721,6.233369,-0.078972,0,-8.840898,0.193086,0.58315,0.6191662115339944,-11.07720167112157,None,-8.777644,0.189587,0.578041,-7.780627895031402,0,0,-999.900024,78.96373664470768,0.490447998046875,0.4760513305664063,0,8.340607917052843,-0.6160372287151256,2.070924529040142,87.73611484200731,0,-10.05999449731438,0.2608708062314926,0.6740201961611665,-0.1897211441053386,1456,2019-100mb00000000180-1352e0b244b611,Jaydev Unadkat,2022-100mb00000001013-30676520bcc011,Harshit Rana,464800,0,0,0,1,0,0,0,0,0,0,0,,0,ANGLED IN,FRONTFOOT FLICK,-9.97,59.53,Off stump,Good Length,0,0,0,0,0,0,1,MA Chidambaram Stadium,2024-05-26
