batting_team,batsman_is_rhb,non_striker_id,non_striker_name,non_striker_is_rhb,bowling_team,bowler_is_rhb,delivery_type,innings,ball,over,shot_is_attacked,shot_is_played,bounce_angle,bounce_pos_x,bounce_pos_y,boucne_pos_z,crease_pos_x,crease_pos_y,crease_pos_z,deviation,drop_angle,hit_stumps,impact_pos_x,impact_pos_y,impact_pos_z,initial_angle,landing_pos_x,landing_pos_y,landing_pos_z,pbr,react_time_to_crease,react_time_to_intercept,real_distance,release_pos_x,release_pos_y,release_pos_z,release_speed,spin_rate,stump_pos_x,stump_pos_y,stump_pos_z,swing,match_id,batsman_id,batsman_name,bowler_id,bowler_name,ball_id,is_single,is_double,is_three,is_dot,is_wide,is_no_ball,is_bye,is_leg_bye,is_four,is_six,is_wicket,wicket_type,is_bowler_wicket,ball_type,shot_type,pitch_x,pitch_y,ball_line,ball_length,runs,actual_runs,extras,ball_runs,is_bouncer,is_free_hit,innings_no,ground,date
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2022-05-29
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2022-05-29
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2022-05-29
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,531,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,True,12899813945843,Jos Buttler,True,GUJARAT-TITANS,True,Spin,1,2,6,Defended,Played,11.39648784407505,5.81345,-0.273533,0,-8.840701,-0.068567,0.676724,1.682648203928169,-15.39684610650047,None,-8.912013,-0.065324,0.682434,-1.721713196615189,92,98,0,80.92244735072737,0.782112121582031,0.7658958435058594,0,8.340740293154802,-0.5630217208697327,1.87455603647368,55.8177100461165,0,-10.06009828284177,-0.01283364161862771,0.7546973851070266,-0.9412327552604813,531,2019-100mb00000000190-c62cbae544b711,Sanju Samson,2019-100mb00000000218-42d9d6f544bf11,Rashid Khan,214089,1,0,0,0,0,0,0,0,0,0,0,,0,GOOGLY,BACKFOOT PUSH,104.21,93.14,Outside Off stump,Short of Good Length,1,1,0,1,0,0,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,False,13246196673499,RIYAN PARAG,True,GUJARAT-TITANS,False,Spin,1,6,16,Defended,Played,11.59677816766257,5.793519,-0.272054,0,-8.840865,-0.110327,0.660748,-2.474669813532175,-17.06450614156056,None,-7.458723,-0.159834,0.532763,-3.243172700649188,0,0,-999.900024,75.94352079672974,0.819877624511719,0.7319183349609375,0,8.34054021294694,-1.040740229739225,2.242885269563701,52.6770749469875,0,-10.05989623301517,-0.06618671782777721,0.724633873068066,1.866372843874437,531,2019-100mb00000000066-573f78a31e3711,Trent Boult,2020-100mb00000000544-980117aa639c11,Sai Kishore,214153,0,0,0,1,0,0,0,0,0,0,0,,0,ORTHODOX,FORWARD DEFENCE,-56.02,17.17,Off stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,True,13245514906810,DEVDUTT PADIKKAL,False,GUJARAT-TITANS,True,Seam,1,2,10,Attacked,Played,7.716455366492417,7.331574,-0.658508,0,-8.840971,-0.709444,0.706961,-0.2197119645590717,-11.13723631174877,None,-8.869889,-0.709691,0.709412,-8.10151353132078,52,-138,0,88.15086691226483,0.477012634277344,0.4664154052734375,0,8.341125932122942,-0.572216342906411,1.895784361397811,90.84127548306773,0,-10.0603369422315,-0.7199015618133849,0.8037824769983927,0.3840087298156405,531,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,2018-100mb00000000047-1bfc8ff2f88b11,Mohammad Shami,214113,0,1,0,0,0,0,0,0,0,0,0,,0,STRAIGHT BALL,FRONTFOOT COVERDRIVE,-152.25,54.92,Outside Off stump,Good Length,2,2,0,2,0,0,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,False,13281632719678,RAVICHANDRAN ASHWIN,True,GUJARAT-TITANS,True,Seam,1,5,15,Attacked,Played,8.390595602761348,5.836908,0.102259,0,-8.840631,0.405627,0.582988,0.4765462716690522,-11.26548959991745,None,-8.786079,0.401977,0.577579,-6.242696590249488,-92,158,0,87.07552451787004,0.517524719238281,0.5062522888183594,0,8.340615054884967,-0.5725373183660161,1.925946152566477,83.2730724725261,0,-10.06003218079738,0.4876309472858965,0.6951401131136895,0.2720419019681272,531,2019-100mb00000000210-b8addb3444bb11,Shimron Hetmyer,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,214146,0,0,0,0,0,0,0,0,1,0,0,,0,ANGLED ACROSS,GLIDE,104.21,-115.44,Outside Off stump,Good Length,4,4,0,4,0,0,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,False,12899813945843,Jos Buttler,True,GUJARAT-TITANS,True,Seam,1,2,1,Attacked,Missed,7.718683688235354,5.226831,0.214047,0,-8.840602,-0.136015,0.487661,-0.6485908220013502,-11.09840462841874,None,-8.579968,-0.112918,0.460959,-5.96068724699925,0,0,-999.900024,92.25564247149521,0.482494354248047,0.4614944458007813,0,8.341237976938686,0.906454045687637,1.964354198170945,88.93292595433928,0,-10.05966072473234,-0.2446689351943178,0.6044089491923631,-2.410605748558465,531,2020-100mb00000000533-e895f279639811,Yashasvi Jaiswal,2018-100mb00000000047-1bfc8ff2f88b11,Mohammad Shami,214059,0,0,0,1,0,0,0,1,0,0,0,,0,INSWINGER,FRONTFOOT ON DRIVE,59.55,66.89,Off stump,Good Length,1,0,1,1,0,0,1,Narendra Modi Stadium,2022-05-29
RAJASTHAN-ROYALS,False,12899813945843,Jos Buttler,True,GUJARAT-TITANS,True,Seam,1,3,9,Defended,Missed,7.500779994147601,7.621902,-0.257694,0,-8.841026,0.054129,0.683013,0.4192778059510708,-11.75396455499844,None,-999.9,-999.9,-999.9,-8.440276956498954,0,0,-999.900024,82.3943489495434,0.501491546630859,0.5274810791015625,0,8.340475339746739,-0.6486212370145459,1.932874502353468,86.76862408446976,0,-10.06035804523249,0.1153083923852469,0.7643260566229693,0.4322537880475095,531,2019-100mb00000000200-1283ad3244ba11,Devdutt Padikkal,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,214108,0,0,0,1,0,0,0,0,0,0,0,,0,ANGLED ACROSS,FORWARD DEFENCE,-97.00,-21.05,Leg stump,Good Length,0,0,0,0,0,0,1,Narendra Modi Stadium,2022-05-29
