batting_team,batsman_is_rhb,non_striker_id,non_striker_name,non_striker_is_rhb,bowling_team,bowler_is_rhb,delivery_type,innings,ball,over,shot_is_attacked,shot_is_played,bounce_angle,bounce_pos_x,bounce_pos_y,boucne_pos_z,crease_pos_x,crease_pos_y,crease_pos_z,deviation,drop_angle,hit_stumps,impact_pos_x,impact_pos_y,impact_pos_z,initial_angle,landing_pos_x,landing_pos_y,landing_pos_z,pbr,react_time_to_crease,react_time_to_intercept,real_distance,release_pos_x,release_pos_y,release_pos_z,release_speed,spin_rate,stump_pos_x,stump_pos_y,stump_pos_z,swing,match_id,batsman_id,batsman_name,bowler_id,bowler_name,ball_id,is_single,is_double,is_three,is_dot,is_wide,is_no_ball,is_bye,is_leg_bye,is_four,is_six,is_wicket,wicket_type,is_bowler_wicket,ball_type,shot_type,pitch_x,pitch_y,ball_line,ball_length,runs,actual_runs,extras,ball_runs,is_bouncer,is_free_hit,innings_no,ground,date
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1866,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13170613475467,ABHISHEK SHARMA,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,4,6,Attacked,Edged,10.38553685817825,11.593968,-0.42149,0,-8.840645,-0.128114,1.446826,0.07060728563947506,-17.02520152118422,None,-8.141774,-0.143624,1.387029,-14.99034424971414,7,-119,0,75.08162564337809,0.527023315429688,0.49053955078125,0,8.34070054340284,-0.6236957640510302,1.999926409016332,85.63033106939895,0,-10.06030594275721,-0.1026701372033385,1.538087662847893,0.3736448240962115,1866,2018-100mb00000000037-4e250de6f88a11,Travis Head,2022-100mb00000001013-30676520bcc011,Harshit Rana,629323,1,0,0,0,0,0,0,0,0,0,0,,0,BOUNCER,BACKFOOT PULL SHOT,-123.50,-23.50,Outside Leg stump,Short Length,1,1,0,1,1,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,True,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Spin,1,3,9,Attacked,Edged,10.81828008686981,5.859697,-0.181593,0,-8.840824,0.073446,0.680598,2.089425639963543,-16.04724436665723,None,-7.069136,-0.025027,0.501625,-3.037022631684453,-151,25,0,85.96967426999232,0.773082733154297,0.6697998046875,0,8.340578109022655,-0.4715964370532161,2.119959026049769,55.43968185619984,0,-10.06016141645859,0.1420351192188898,0.7572806619996288,-0.6195887783023324,1866,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,629341,0,0,0,0,0,0,0,0,1,0,0,,0,OFF SPIN,FRONTFOOT PADDLE SWEEP,30.50,-156.50,Outside Off stump,Good Length,4,4,0,4,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,True,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,2,12,Attacked,Played,6.780388332210086,4.68149,-0.505576,0,-8.840704,-0.478822,0.402467,-0.105393315300925,-11.06170663730111,None,-8.775955,-0.479329,0.396809,-5.710140905915384,181,-15,0,73.90390550000998,0.478179931640625,0.4735107421875,0,8.341011327314028,-0.5178035282581887,2.040986161213261,87.79629210116686,0,-10.06031978324911,-0.4692243704290274,0.5014645560149513,0.9355651903148154,1866,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2022-100mb00000001013-30676520bcc011,Harshit Rana,629359,0,0,0,0,0,0,0,0,1,0,0,,0,ANGLED IN,LOFTED STRAIGHT,-28.50,228.50,Outside Off stump,Good Length,4,4,0,4,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,True,13335633752848,ISHAN KISHAN,False,KOLKATA-KNIGHT-RIDERS,True,Spin,1,7,14,None,None,14.52220774049733,13.794137,0.146926,0,-8.84094,-1.019588,2.132736,1.173649063463012,-22.98701671017812,None,-999.9,-999.9,-999.9,-19.85191987583466,0,0,-999.900024,72.71914466960871,0.657978057861328,0.692962646484375,0,8.340622737633545,0.682532335525046,1.862278958305535,75.30965098874853,0,-10.0602039741767,-1.122744487844823,2.192288982527828,-0.4064623154461732,1866,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,629376,0,0,0,0,1,0,0,0,0,0,0,,0,BOUNCER,LEFT ALONE,-150.00,66.50,Off stump,Short Length,1,0,1,1,1,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13170613475467,ABHISHEK SHARMA,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,3,5,Attacked,Played,6.649687705847182,2.518839,-0.211644,0,-8.840731,-0.159858,0.193256,-0.5071407480242568,-9.514709920512178,None,-8.575391,-0.170472,0.164795,-4.836104388598027,0,0,-999.900024,94.40094813813894,0.461723327636719,0.441925048828125,0,8.340802999366328,-0.9058836938302195,2.015525017332774,91.67338784581783,0,-10.06027789960155,-0.1107968213577711,0.3166569723986531,0.5255512537034598,1866,2018-100mb00000000037-4e250de6f88a11,Travis Head,2019-100mb00000000142-040303a144a811,Anrich Nortje,629315,0,0,0,1,0,0,0,0,0,0,0,,0,STRAIGHT BALL,SLOG SHOT,-88.50,51.00,Leg stump,Full Length,0,0,0,0,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,True,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Spin,1,1,8,Attacked,Played,9.940874539823179,7.639145,-0.248032,0,-8.840988,0.241724,0.735084,0.4626141430801424,-16.30314445084499,None,-8.681203,0.229232,0.729926,-5.856978180353127,-115,89,0,80.94393048019201,0.760231018066406,0.7382583618164062,0,8.340968269129306,-0.9316314078982709,2.149555778150513,56.75067721064927,0,-10.0601861739758,0.3375671058124294,0.7538076165949066,0.3077107967310153,1866,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2019-100mb00000000140-a41b85f2449d11,Varun Chakaravarthy,629332,1,0,0,0,0,0,0,0,0,0,0,,0,GOOGLY,LEG GLANCE,93.50,-79.50,Leg stump,Good Length,1,1,0,1,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,5,6,Attacked,Played,6.936572980719172,8.13147,-0.390354,0,-8.841076,-0.18662,0.687172,0.198044363041324,-12.68232056450936,None,-8.544065,-0.195603,0.669188,-9.09339090243386,-6,-145,0,69.64629467828168,0.50372314453125,0.4757308959960938,0,8.341063524804344,-0.6349144231864879,2.022103435236398,86.70764783256813,0,-10.06028343009387,-0.1495214089168331,0.751842024868816,0.1580819663795327,1866,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2022-100mb00000001013-30676520bcc011,Harshit Rana,629324,1,0,0,0,0,0,0,0,0,0,0,,0,STRAIGHT BALL,BACKFOOT PUSH,-142.00,-27.50,Outside Leg stump,Good Length,1,1,0,1,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,6,4,Attacked,Played,8.466579362081667,8.186933,-0.153225,0,-8.840789,0.170915,0.767598,0.4808943934783086,-14.30572069032579,None,-8.760394,0.167075,0.763348,-7.638834242981035,-8,133,0,84.30224937247228,0.616722106933594,0.5976104736328125,0,8.341044739375434,-0.5544765506460217,2.022677425727891,70.09188052622984,0,-10.06025187776049,0.2294612141097492,0.8200503246887947,-0.2610964562854838,1866,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2022-100mb00000001013-30676520bcc011,Harshit Rana,629312,1,0,0,0,0,0,0,0,0,0,0,,0,OFF CUTTER,BACKFOOT COVERDRIVE,154.00,69.50,Leg stump,Good Length,1,1,0,1,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,True,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Spin,1,7,8,Attacked,Played,9.546495964069582,6.48918,-0.548382,0,-8.840899,-0.486948,0.65533,-1.868753057546848,-14.9149957654297,None,-9.03871,-0.484589,0.666179,-5.23399267643007,-3,-86,0,63.75777428031283,0.702232360839844,0.6960983276367188,0,8.34070949872498,-0.9111200138992781,2.142976404070999,61.75695516387593,0,-10.06023220898011,-0.4723423867808927,0.7080031479008806,1.493315639064739,1866,2019-100mb00000000202-438eed6944ba11,Heinrich Klaasen,2019-100mb00000000140-a41b85f2449d11,Varun Chakaravarthy,629338,1,0,0,0,0,0,0,0,0,0,0,,0,LEG SPIN,CUT SHOT,-85.50,17.00,Outside Off stump,Good Length,1,1,0,1,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13170613475467,ABHISHEK SHARMA,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,3,4,Attacked,Edged,8.40908505874375,6.744149,-0.025036,0,-8.840703,0.300281,0.65322,0.8741142211330305,-13.12067726321831,None,-8.052493,0.252975,0.595421,-6.410640164627614,0,0,-999.900024,71.00384488593635,0.6046142578125,0.5583686828613281,0,8.340614717729146,-0.5790571303332932,2.038471684134764,72.51778460808804,0,-10.0600655523346,0.3740731680502397,0.723455452830365,-0.5703874499960805,1866,2018-100mb00000000037-4e250de6f88a11,Travis Head,2022-100mb00000001013-30676520bcc011,Harshit Rana,629309,0,0,0,1,0,0,0,0,0,0,0,,0,OFF CUTTER,LOFTED ON DRIVE,-38.50,18.00,Leg stump,Good Length,0,0,0,0,0,0,1,Arun Jaitley Stadium,2025-05-25
SUNRISERS-HYDERABAD,False,13340887490062,TRAVIS HEAD,False,KOLKATA-KNIGHT-RIDERS,True,Seam,1,7,5,None,None,6.492929905523051,-3.664936000000001,1.234329,0,-8.8408,0.85792,0.677971,-1.272221872585407e-14,-9.444031667426096,None,-999.9,-999.9,-999.9,-2.664479798644415,0,0,-999.900024,89.23028980426785,0.685134887695312,0.4791984558105469,0,8.340433629026489,-0.5561133616904708,2.193345656164028,91.979293,0,-10.0599125086326,0.9531390806632419,0.50888735013702,-0.5643088208815891,1866,2019-100mb00000000212-9df3a24d44bc11,Abhishek Sharma,2019-100mb00000000142-040303a144a811,Anrich Nortje,629319,0,0,0,1,0,0,0,0,0,0,0,,0,ANGLED ACROSS,LEFT ALONE,-169.50,152.00,Wide outside Off stump,Full Toss,0,0,0,0,0,0,1,Arun Jaitley Stadium,2025-05-25
