"phase","length","Pace","Slow"
"Death","Full",8.69565217391304,NA
"Death","Full toss",6.52173913043478,NA
"Death","Good length",17.3913043478261,2.17391304347826
"Death","Short",4.34782608695652,NA
"Death","Short of a good length",4.34782608695652,4.34782608695652
"Death","Slot",23.9130434782609,NA
"Death","Yorker",28.2608695652174,NA
"Early Middle","Bouncer",6.45161290322581,NA
"Early Middle","Full",3.2258064516129,NA
"Early Middle","Good length",29.0322580645161,6.45161290322581
"Early Middle","Short",3.2258064516129,3.2258064516129
"Early Middle","Short of a good length",9.67741935483871,3.2258064516129
"Early Middle","Slot",19.3548387096774,6.45161290322581
"Early Middle","Yorker",9.67741935483871,NA
"Late Middle","Bouncer",3.2258064516129,NA
"Late Middle","Full",9.67741935483871,6.45161290322581
"Late Middle","Full toss",9.67741935483871,NA
"Late Middle","Good length",16.1290322580645,NA
"Late Middle","Short",6.45161290322581,NA
"Late Middle","Short of a good length",22.5806451612903,6.45161290322581
"Late Middle","Slot",9.67741935483871,NA
"Late Middle","Yorker",9.67741935483871,NA
