Overs, Matheesha Pathirana, Matheesha Pathirana 2022, Matheesha Pathirana 2023, Matheesha Pathirana 2024, Nuwan Thushara
1-3, NA, NA, NA, NA, 7.91
4-6, NA, NA, NA, NA, 18.50
7-11, 7.93, 7.33, 9, 7.33, 10
12-16, 7.33, 3, 7.74, 6.86, 8.5
17-20, 8.28, 9.53, 8.01, 8.56, 11.12
