"length","release_z","release_y"
"Bouncer",1.51623602740557,0.130532826158134
"Full",1.58357631685565,0.0243204494941044
"Full toss",1.59838510255426,-0.002220109413158
"Good length",1.56000865881277,0.0521315364176687
"Short",1.54855892198031,0.16401658587985
"Short of a good length",1.5780617173659,0.114421947031981
"Slot",1.5697100052955,0.0366010130871046
"Yorker",1.57691742266338,0.0239546635925654
