"pace","mp","mp2022","mp2023","mp2024","nt"
"Minimum",102.38915010364,102.38915010364,124.003135991595,124.373143569635,113.344
"Maximum",153.206509942862,131.789811030115,146.92361462254,153.206509942862,138.949800595186
"Median",135.405764003189,129.23526489873,133.706331474435,143.474531599784,130.629253842259
"25th Percentile",131.894914566131,127.692348726248,130.841431266695,134.933582373001,119.79826600709
"75th Percentile",145.071160851084,130.428194875611,138.120082297789,148.465999345314,133.287571324228
