"phase","length","Pace","Slow"
"Death","Full toss",25,25
"Death","Short",25,NA
"Death","Yorker",25,NA
"Early Middle","Good length",25,NA
"Early Middle","Slot",25,NA
"Early Middle","Yorker",50,NA
"Late Middle","Full",NA,33.3333333333333
"Late Middle","Slot",33.3333333333333,NA
"Late Middle","Yorker",33.3333333333333,NA
