"","inns","balls","avg","spin","pace","sr","overs"
"1",6,111,12.5,42.3423423423423,61.2612612612613,67.5675675675676,"0-5"
"2",6,332,76,55.1204819277108,46.6867469879518,91.566265060241,"6-10"
"3",3,101,30.6666666666667,75.2475247524752,26.7326732673267,91.0891089108911,"11-15"
"4",2,129,72,58.9147286821705,41.8604651162791,111.627906976744,"16-20"
"5",2,118,68.5,54.2372881355932,48.3050847457627,116.101694915254,"21-25"
"6",2,72,81,47.2222222222222,52.7777777777778,112.5,"26-30"
"7",1,18,Inf,100,0,94.4444444444444,"36-40"
