"","bowler_kind.over","bowler_kind.spin_percent","bowler_kind.pace_percent","bowler_kind.others_percent"
"1",1,8.52390852390852,91.2681912681913,0.207900207900208
"2",2,11.1458333333333,88.6458333333333,0.208333333333333
"3",3,8.64583333333333,91.0416666666667,0.3125
"4",4,10.9603340292276,88.9352818371607,0.104384133611691
"5",5,8.63683662851197,91.2591050988554,0.104058272632674
"6",6,13.3333333333333,86.5625,0.104166666666667
"7",7,13.3333333333333,86.5625,0.104166666666667
"8",8,18.3716075156576,81.2108559498956,0.417536534446764
"9",9,21.5031315240083,78.2881002087683,0.208768267223382
"10",10,24.5559038662487,74.503657262278,0.940438871473354
"11",11,38.2045929018789,61.2734864300626,0.521920668058455
"12",12,39.3939393939394,59.1431556948798,1.46290491118077
"13",13,45.8638743455497,53.5078534031414,0.628272251308901
"14",14,48.6910994764398,50.0523560209424,1.2565445026178
"15",15,53.9832285115304,45.2830188679245,0.733752620545073
"16",16,57.2478991596639,41.1764705882353,1.57563025210084
"17",17,60.8008429926238,37.9346680716544,1.26448893572181
"18",18,60.0844772967265,38.3315733896515,1.58394931362196
"19",19,64.1649048625793,34.5665961945032,1.26849894291755
"20",20,64.1949152542373,34.0042372881356,1.80084745762712
"21",21,64.1791044776119,33.6886993603412,2.13219616204691
"22",22,66.0235798499464,32.2615219721329,1.71489817792069
"23",23,63.7931034482759,34.698275862069,1.50862068965517
"24",24,66.1237785016287,32.1389793702497,1.73724212812161
"25",25,60.4575163398693,37.7995642701525,1.74291938997821
"26",26,64.5583424209378,34.1330425299891,1.30861504907306
"27",27,59.1859185918592,38.5038503850385,2.31023102310231
"28",28,62.0575221238938,36.283185840708,1.65929203539823
"29",29,58.1291759465479,40.0890868596882,1.78173719376392
"30",30,60.3370786516854,37.5280898876404,2.13483146067416
"31",31,55.5806087936866,42.8410372040586,1.57835400225479
"32",32,56.5564424173318,41.5051311288483,1.93842645381984
"33",33,53.7485582468281,44.0599769319493,2.19146482122261
"34",34,53.2941176470588,44.7058823529412,2
"35",35,51.015531660693,47.3118279569892,1.6726403823178
"36",36,52.6829268292683,45.2439024390244,2.07317073170732
"37",37,52.5593008739076,46.0674157303371,1.37328339575531
"38",38,48.2233502538071,50.253807106599,1.52284263959391
"39",39,46.9520103761349,51.8806744487678,1.16731517509728
"40",40,43.8247011952191,54.8472775564409,1.32802124833997
"41",41,49.320652173913,49.4565217391304,1.22282608695652
"42",42,48.6149584487535,49.584487534626,1.8005540166205
"43",43,44.6657183499289,54.0540540540541,1.28022759601707
"44",44,40.8682634730539,57.0359281437126,2.09580838323353
"45",45,31.4553990610329,68.075117370892,0.469483568075117
"46",46,28.500823723229,70.6754530477759,0.823723228995058
"47",47,17.4438687392055,82.5561312607945,0
"48",48,16.9398907103825,81.9672131147541,1.09289617486339
"49",49,11.1788617886179,88.8211382113821,0
"50",50,6.49038461538462,93.2692307692308,0.240384615384615
